"model","fields__input_label_fr","fields__input_placeholder_fr","fields__input_name","fields__input_type","fields__input_default_value","fields__input_placeholder_en","fields__input_label_en","pk"
"inputs.input","Quelle est votre industrie?","Quelle est votre industrie?","industryType","OPTIONS","null","What is your industry?","What is your industry?","1"
"inputs.input","Quel est votre segment?","Quel est votre segment?","industrySubtype","OPTIONS","null","What is your segment?","What is your segment?","2"
"inputs.input","Quelle est votre type d'entreprise?","Quelle est votre type d'entreprise?","businessType","OPTIONS","null","What is your business Type?","What is your business Type?","3"
"inputs.input","Transactions bancaires","Combien de transactions mensuelles dans votre compte de banque?","bankTransactions","OPTIONS","33","How many transactions in your bank account each month?","Bank Transactions","4"
"inputs.input","Comptes Bancaires","Combien de comptes sont associés à votre entreprise? (Banque, CC)","bankAccounts","NUMBER","47","How many accounts does your business have?(Banks, Credit Cards, paypal)","Bank Accounts","5"
"inputs.input","Volume de clients annuels?","Volume de clients annuels?","customerAmount","OPTIONS","39","Annual customer volume?","Annual customer volume?","6"
"inputs.input","Nombre d'usagers","Combien d’utilisateurs?","userCount","NUMBER","47","How many users?","User Amount","7"
"inputs.input","Nombre d’employés?","Nombre d’employés?","employeeAmount","NUMBER","47","Amount of Employees?","Employee Amount","8"
"inputs.input","Nombre d’établissements","Combien d’établissements d’affaires?","businessLocations","NUMBER","47","How many business locations?","Business Locations","9"
"inputs.input","Fréquence des salaires","Fréquence des salaires","payrollFrequency","OPTIONS","42","Payroll Frequency","Payroll Frequency","10"
"inputs.input","Fréquence des rapports de taxe de vente","Fréquence des rapports de taxe de vente","salestaxFrequency","OPTIONS","46","Sales tax Frequency","Sales tax Frequency","11"
"inputs.input","Devises multiples","Devises multiples","multicurrency","RADIO","51","Multi Currency","Multi Currency","12"
"inputs.input","Fréquence des rapports financiers","Fréquence des rapports financiers","financialFrequency","OPTIONS","55","Financial reporting frequency","Financial reporting frequency","13"
"inputs.input","# de recu par mois","Nombre","Monthly Receipts","NUMBER","null","Amount","# of Receipts per month","14"
